,FF-FF,FF-CU,FF-SL,FF-CH,FF-SI,FF-FC,CU-FF,CU-CU,CU-SL,CU-CH,CU-SI,CU-FC,SL-FF,SL-CU,SL-SL,SL-CH,SL-SI,SL-FC,CH-FF,CH-CU,CH-SL,CH-CH,CH-SI,CH-FC,SI-FF,SI-CU,SI-SL,SI-CH,SI-SI,SI-FC,FC-FF,FC-CU,FC-SL,FC-CH,FC-SI,FC-FC
"burnes, corbin",0.030921459492888066,0.06184291898577613,0.12368583797155226,0.12368583797155226,0.030921459492888066,0.12368583797155226,0.0927643784786642,3.339517625231911,1.391465677179963,0.95856524427953,1.1131725417439702,11.50278293135436,0.0927643784786642,1.5151515151515151,1.5460729746444033,0.27829313543599254,1.0822510822510822,4.7309833024118735,,1.7006802721088436,0.30921459492888065,1.4223871366728509,0.27829313543599254,6.029684601113173,0.0927643784786642,1.453308596165739,1.391465677179963,0.21645021645021645,0.7111935683364254,2.87569573283859,0.1855287569573284,10.296846011131725,4.483611626468769,6.740878169449598,3.525046382189239,30.117501546072972
"cabrera, edward",3.7037037037037033,4.362139917695473,4.197530864197531,6.502057613168724,1.316872427983539,,4.77366255144033,3.2098765432098766,1.3991769547325104,8.88888888888889,2.7160493827160495,,2.880658436213992,1.9753086419753085,2.551440329218107,5.51440329218107,2.139917695473251,,7.160493827160494,8.806584362139917,4.8559670781893,7.4074074074074066,4.032921810699588,,1.646090534979424,2.633744855967078,1.9753086419753085,3.950617283950617,1.316872427983539,,,,,,,
"carrasco, carlos",12.78324070115434,1.1115861479264644,9.662248824283882,9.83326207781103,2.3941855493800768,,1.453612654980761,0.21376656690893547,0.940572894399316,1.0260795211628901,0.470286447199658,,8.336896109448483,0.940572894399316,6.584010260795211,5.0448909790508765,3.3347584437793927,,10.089781958101753,1.2398460880718256,4.061564771269773,6.4985036340316364,2.907225309961522,,3.0782385634886706,0.5985463873450192,2.992731936725096,2.3941855493800768,1.9666524155622063,,,,,,,
"castillo, luis",11.971268954509178,,7.5418994413407825,7.861133280127694,5.506783719074222,,,,,,,,6.903431763766959,,4.908220271348763,3.6312849162011176,5.626496408619314,,7.5418994413407825,,3.910614525139665,5.626496408619314,5.18754988028731,,6.464485235434957,,4.708699122106943,5.147645650438946,7.42218675179569,,,,,,,
"cease, dylan",15.192307692307692,5.256410256410256,17.884615384615383,1.185897435897436,0.22435897435897434,,6.698717948717949,2.403846153846154,4.487179487179487,0.2884615384615385,0.0641025641025641,,16.506410256410255,5.769230769230769,19.615384615384617,0.6730769230769231,0.3205128205128205,,1.153846153846154,0.38461538461538464,0.576923076923077,0.2564102564102564,0.0641025641025641,,0.19230769230769232,0.1282051282051282,0.3205128205128205,0.03205128205128205,0.2884615384615385,,,,,,,
"cessa, luis",5.536626916524702,,6.984667802385008,4.003407155025554,2.8960817717206133,,,,,,,,7.155025553662692,,17.717206132879046,6.218057921635435,8.091993185689947,,3.9182282793867125,,5.536626916524702,6.218057921635435,4.003407155025554,,2.8960817717206133,,8.858603066439523,3.2367972742759794,6.643952299829642,,,,,,,
"chavez, jesse",,,,0.0847457627118644,0.1694915254237288,0.3389830508474576,,0.0847457627118644,,0.0847457627118644,0.5932203389830508,0.9322033898305085,,,,,,,,0.1694915254237288,,1.6101694915254237,2.11864406779661,9.067796610169491,0.2542372881355932,0.5932203389830508,,2.2033898305084745,6.271186440677965,16.610169491525422,0.3389830508474576,0.847457627118644,,8.983050847457626,16.864406779661017,31.610169491525426
"cimber, adam",17.504835589941973,,12.379110251450678,,4.835589941972921,,,,,,,,10.735009671179883,,15.18375241779497,,9.477756286266924,,,,,,,,6.382978723404255,,7.833655705996131,,15.473887814313347,,,,,,,
"cishek, steve",14.063848144952546,,8.628127696289905,0.1725625539257981,5.694564279551337,,,,,,,,8.455565142364108,,15.962036238136324,0.2588438308886971,12.510785159620363,,0.1725625539257981,,,,0.2588438308886971,,5.9534081104400345,,12.597066436583262,,15.185504745470233,,,,,,,
"civale, aaron",1.196808510638298,3.0585106382978724,0.4654255319148936,0.598404255319149,1.196808510638298,2.5930851063829787,1.8617021276595744,6.117021276595745,0.5319148936170213,0.9308510638297872,6.25,11.502659574468085,0.3324468085106383,1.0638297872340425,0.5319148936170213,0.19946808510638298,0.7978723404255319,0.5319148936170213,0.5319148936170213,1.0638297872340425,0.06648936170212766,0.19946808510638298,0.7978723404255319,0.9973404255319149,1.9946808510638299,6.117021276595745,1.3297872340425532,0.4654255319148936,5.252659574468085,6.382978723404255,3.2579787234042556,9.773936170212766,0.5319148936170213,1.2632978723404253,7.180851063829788,12.898936170212766
"clevinger, mike",15.018125323666496,1.657172449508027,7.250129466597619,3.469704816157431,4.142931123770068,5.023303987571206,1.3982392542723976,0.25893319523562924,0.7767995857068877,0.31071983428275507,0.3625064733298809,0.25893319523562924,5.903676851372346,0.20714655618850336,5.955463490419472,1.294665976178146,3.676851372345935,3.521491455204557,3.4179181771103053,0.7767995857068877,1.2428793371310203,2.0196789228379077,1.294665976178146,0.9321595028482652,5.023303987571206,0.31071983428275507,3.055411703780425,1.3982392542723976,3.210771620921802,1.9161056447436562,5.800103573278094,0.15535991714137753,2.278612118073537,1.1910926980838943,2.1750388399792855,2.951838425686173
"cobb, alex",,0.042643923240938165,,0.042643923240938165,0.1279317697228145,,0.042643923240938165,2.55863539445629,,6.140724946695096,6.609808102345416,,,,,0.042643923240938165,,,0.042643923240938165,5.970149253731343,0.042643923240938165,19.78678038379531,16.58848614072495,,0.1279317697228145,6.780383795309168,,16.417910447761194,18.592750533049042,,,,,,,
"cole, gerrit",26.269315673289185,6.054872280037843,11.510564490696941,4.824976348155157,,3.532008830022075,6.0864080731630406,1.009145380006307,1.9236833806370228,0.8830022075055187,,0.5991800693787449,11.226742352570167,1.8921475875118259,6.780195521917376,1.292967518133081,,1.1352885525070955,5.077262693156733,0.914538000630716,1.1983601387574898,0.8830022075055187,,0.3468937243771681,,,,,,,3.532008830022075,0.630715862503942,0.914538000630716,0.5361084831283507,,0.914538000630716
"coleman, dylan",34.024896265560166,,21.74273858921162,,0.4149377593360996,,,,,,,,21.82572614107884,,20.08298755186722,,0.5809128630705395,,,,,,,,0.33195020746887965,,0.6639004149377593,,0.24896265560165973,,,,,,,
"contreras, roansy",23.866498740554157,6.10831234256927,16.49874055415617,1.9521410579345089,,,7.493702770780857,2.8337531486146093,3.400503778337532,0.3778337531486146,,,15.806045340050378,4.2191435768261965,14.168765743073047,0.2518891687657431,,,1.322418136020151,0.9445843828715366,0.3778337531486146,0.2518891687657431,,,,,,,,,,,,,,
"corbin, patrick",5.794891345787267,0.03812428516965307,4.498665650019062,0.9531071292413268,5.642394205108654,,,,,,0.03812428516965307,,4.765535646206634,,10.751048417842165,1.9443385436523064,11.932901258101412,,1.1056042699199389,,2.173084254670225,0.6862371330537552,4.308044224170797,,5.2611513534121235,,11.971025543271063,4.689287075867328,23.408311094166983,,,,,,,
